,Complaints,Emotion
11921,on i purchased flight ticket  paypal the amount  however returned flight cancelled finally   on   refunded ticket price  after i phoned  refund money they this part fraud they promised would refund also i paid something i on i opened case dispute half total ticket price since flight cancelled case number  on paypal sent email claim we changed case reason  on case denied paypal i contacted reason the representive  indicated reason losing case due wrong filling reason so totally trap game i changed reason filing i denied case due wrong reason a know transcation could claimed twice great one gone i understand i need explaination or fraud paypal help seller take money keep playing key role fraud the following chat    thanks i really cound understand decision the money sent back   passenger they took money   in case look like claim switched claim not described claim would fall that claim denied my option would u refile credit not processed claim since regarding cancelled flight    i   i apologize confusion i go ahead get refiled appropriate reason code    hello    thanks contacting u case based information received changing reason filing case you submitted claim item service significantly different originally described we continue investigate case let know need information transaction detail dispute case id  transaction amount usd dispute amount usd transaction id  i reported i item service changed really thanks help   alright dispute refiled escalated seller day reply u valid explanation refund authorization if respond eligible full refund day for best thing would keep eye email reach soon update until anything assist     i question is anything i submit case thanks help understanding   at time need anything else reach email it pleasure assisting today  i glad i could get track towards resolution thank taking time contact u we truly value i hope excellent rest day if question line please feel free contact u it look like may stepped away conversation that okay please check previous message need reply well connect message next available customer support team member previous team member available on day representive case on anohter representive changed case reason the reason claim sent representive  on paypal denied case since thought service rendered however flight cancelled the key point make think i treated unflair why paypal changed case reason also change make lose claim directly when claim denied i contacted paypal i pointed flight cancelled way service could provided however take explain want deny case   regardless flight canceled going deny case appeal you need work bank merchant getting refunded    i still understand even want deny case need provide reason   this credit process claim meaning seller promised refund never issued one the service rendered merchant denying claim appeal i provided reasoning liking information i providing we going reopen case reverse fund back please work merchant contact bank    the service rendered how told need contact party i wonder know service rendered   i told information uploaded seller reference provided    ok i send proof service rendered   we use proof case denying appeal    will accept no one contact ask whether i got service ok the service delivered even i prove wrong receive   we seeking information claim going deny appeal please work merchant getting refunded if issue work bank disputing i mentioned finally i think transcation fraud since seller promised refund i refund also different excuse different decision email paypal money service provider follow guideline dot provide refund cancelled flight also support seller steal money customer also finally chat  representive information uncleared he told took evidence seller service rendered however i already sent evidence paypal receipt   show refund due cancelled flight paypal hold responsiblity protect customer wallet i understand experience i think paypal employee paypal heavy discriminative unreasonable illegal decision case until i attached screenshot show many email i sent  refund paypal nothing,Fear
21310,i charged incorrectly        i contacted  able correct information sent letter       he informed also sent credit reporting agency removed month time it still credit report i unable removed,Fear
162,the credit bureau reporting personal information,Fear
4975,i  mastercard account showing credit report accurate i want report law include want company confirmed reported litigation follow corrected immediately,Fear
1497,   original creditor      balance updated please help they trying help it credit card,Surprise
5751,i filed a dispute with the credit reporting agency in regard to inaccurate information reporting on my credit report i never received any notification in regard to the investigation result it ha now been over day i filed a day demand to comply with the credit bureau and still have yet to receive any response initial dispute day demand,Happy
15149,i applied modification first position mortgage approved trial modification i eligible permanent modification i resolve lien property i entered repayment agreement santander refusing issue proof consider lien subordinate  mortgage they stated nature lien make subordinate refusing issue letter email stating subordinate i also sent subordination form  drafted refuse complete form if i get help i lose home  issued denial letter today stating i denied based fact i resolved lien,Sad
7899,we car lease kia motor finance kmf autopay the monthly payment on received notice past due amount a kmf autopay confused notice nonetheless paid kmf day notice in conversation today kmf agent past due amount instructed ignore past due notice this seem like reasonable reply asked speak supervisor we told supervisor mass property tax paid separately lease payment covered autopay the supervisor directed u statement herein attached the amount sum two amount statement the statement list total amount due note total amount due broken two separate portion one lease payment another tax payment paid individually a seen kmf statement upper right stop worrying making monthly payment sign autopay never worry late fee even troubling first kmf agent spoke said ignore late payment notice for foregoing reason therefore believe kmf engaging misleading deceptive business practice bringing matter attention it also quite possible one caught caught kmf practice,Fear
2277,on  i made check deposit  ser   ser   ser  check caused problem  ser  after making deposit i realized ser   read  i immediately pointed boa told bank would adjust automatically so i left i called boa would official record spending min getting hung time reassured bank adjust i woke instead problem resolved i woke  overdrawn called bank spent min told nothing i would money till tuesday so went bank unsimpatheticly told one ahead i would wait see one mind u error bank put double hold check  release date monday came told i would wait look    monday still resolved,Fear
2719,i victim identity theft well several data breach the latest    the item i identified highlighted credit report relate transaction i made applied resulting several inquiry hurt credit score i value please block remove update delete information pursuant section code section identity theft alleged due diligence performed reasonable conclusion determined,Sad
20772,living one state affected i live ny i impacted virus unsuccessful reaching creditor discus waiving late fee waiving reporting derogatory information credit bureau discussing payment arrangement per email customer like not give electronic communication option contact they only offer call phone i attempted time different hour reach phone unsuccessful i live limited income cellphone limited minute plan i know resolve get benefit i eligible per email correspondence no ability respond via email i recently last year worked hard improving credit worthiness score how i protect credit i reach any of them preserve credit make use benefit impacted the creditor   credit card   credit card paypal credit line credit synchrony and due inability reach bill overdue i trying extreme effort reach week prior payment due date still trying reach the high call volume caused longer normal wait time mostly informed due high call volume not possible wait hold recording state try calling another time please help thank,Fear
1333,i explained repeatedly company i        nothing debt i original creditor contact inform they continue contact the recent contact email i sent written correspondence well assert i        nothing debt  ,Fear
11142,in i reached  via telephone request paperwork extend deferment i told i would receive via email it never came i check spam folder multiple time i reached told would send via email never came i called representative let know i could request extension online i immediately completed request online processed effect retroactively i process purchasing new home discovered credit score taken hit hit i late payment credit record i contacted fedloan multiple time assist clearing credit report they informed even though deferment applied retroactively payment still considered late this make sense per deferment payment due they rude extremely unhelpful phone i lose lot money custom built home a someone excellent payment record account extremely distressing unfair i filed formal dispute based phone call i high hope right thing correct report,Sad
6684,collection company name association inc try co email call collection,Fear
16379,i several dispute chapter  credit file i disputed ask transunion renivestigate provide proof public record belongs furnishing information transunion giving proof investigation transunion reporting investigated proof information coming,Fear
9999,in i opened dispute credit card charge in  i called back check status they told needed information on i faxed information claim including merchant policy honored evidence backing claim i called back check status dispute each time told either i faxed information yet  false claim still processed i would receive update within next week it almost day since i opened dispute day since i called back check status consumer protection law say credit card company must acknowledge dispute within day respond within billing cycle day no matter write well past allotted day period i received single response update additionally friend made exact purchase exact merchant different credit card company initiated dispute  dispute solved  favor  so credit card company recognized merchant faulty back  yet credit card company even sent response  already,Fear
1077,i mortgage account opened     also known united shore financial service llc account no  opened mortgage account based documentation i submitted house value came payment the distribution manner principal interest escrow amount tax insurance come total pmi private mortgage insurance i pay monthly so approved loan already calculated tax insurance accordingly much pmi now three day ago  sends letter state increased payment change tax insurance property please see attached i called  spoke supervisor said tax insurance changed increase monthly escrow pmi payment   made increase well i home insurance  insurance whole year already paid i also called county assessor office assessor office told house tax prepared yet i bought house month ago system registered name yet even know much house tax yet so i understand basis  increasing escrow amount when i asked  supervisor sent pmi disclosure please see attached mention anything pmi increased anytime reason fact state pmi protects lender others financial loss borrower default charge pmi added loan payment so extortion lender people southern california afford buy house face big extortion company like  they learned lesson loosing lawsuit  bad fha mortgage settling case  they increased pmi whim explanation,Fear
454,i would like request suppression following item credit report result falling victim identity theft,Fear
4151,my name   social security number  date birth my complaint national credit service unlawfully seized federal income tax return amount  i call irs check tax return i told national credit service u department education took money claim i owe money i told irs i student loan u department education collection agency took money unlawfully the money wife debt social security number  name  alty date birth address       ny  forbearance told take legal action regarding   social security number  they took money unlawfully account pay her student loan individual account joint so u department education national credit service fraud this debt i husband i loan can please recover money i also made complaint,Fear
7019,where credit bureau get public information recorder deed magistrate court furnish information credit bureau they provide proof justify reporting please get public information remove chapter  bankruptcy discharged ,Fear
15758,equifax reporting authorized user   partial account number  please see page attached credit report i called bank let know i give permission added authorized user account i contacted bank well bureau remove account however i successful it violation fair credit reporting act report accurate information credit report this negative reporting harming credit score line item need removed credit report,Fear
13069,i unable receive credit report online,Surprise
15792,on i applied forbearance on account day past due on first mark service reported account day past due delinquent amount due on lender  finally approved first mark refuse fix report even though forbearance approved it fault took lender long process forbearance,Happy
11816,we loan    one secured car unsecured we fell behind payment month ago following daughter becoming victim violent crime we continued make payment get caught one month late payment all payment going interest company refuse help u make arrangement get caught they keep threatening u repossession vehicle refuse let u get back track they call husband cell cell constantly every day different number yesterday contacted mother knowledge connection they pretended legal service company stating attempting serve legal document dont receive signature today document refusal sign process move forward without they told mother party debt they impersonating legal entity threatening legal action u others u yet try work arrangement demand full payment past due currently due still threaten repossession we know else we frantically trying resolve issue continue get aggressive threatening instead helping weve even considered bankruptcy filing due situation it illegal pretend legal process legal others debt threaten debt this need stopped note husband party loan he also owner vehicle involved yet one main contacting mother repeatedly sharing debt information threatening legal action husband,Fear
3663,i asked kohl certain information provide full original contract i asked sent statement letter telling capital one original creditor i sent letter number also failed mark item under dispute within day per fcra they marked late payment charge every recent month account closed paid damaging credit keeping opiating credit my next step since received dispute letter go court seek damaging compensation defamation ect,Fear
15833,please help i submitting complaint regard negligent unauthorized reporting fraudulent account report i submitted ftc complaint affidavit alongside proof identity i submitted document accordance section fcra the act require extra information please remove account business day receipt complaint i mailed complaint directly company cfpb well please comply law thank,Sad
1912,u bank  colorado stolen checking saving accts alerted fraud dept financial institution time debit card pin compromised time submitted person writing fraud claim dispiuted transaction dating back refuse stop taking money acct taken allowed unauthorized transaction via online atm withdraws obscene amount continuously go take fund acct totaling continue ignore plea recover money call every week since  give run around never give time twice everything always still processed credited complete investigation always lead ton future provisional credit future date while back n forth go i checking account get eviction notice behind every bill personal banker   decidedn wait week submit original fraud claim submitted transaction authorized resulted pmts behind truck laon getting truck threatened reposession well child  pmts denied authorized never disputed i single mother  school age child i facing eviction bank submit fraud claim originally alerted company  taking money acct asking authorized since thay day checking acct allowed taken via online transaction banking fee atm unauthorized withdraws still seem stop allowing company including financial institution access accts remove fund filed every report possible irs ftc contacted u bank corp office one seems capable crediting checking acct bank continues allow money withdrawn debit card transaction go begged freedze accts    colorado u bnank local branch spent hr tear going every unauthorized fraudulent tranaction chk acct submit claim later he disputed transaction writing listed took copy still did not submit my claim sure money  kid h submitted authorized charge credited i seriously illegal u bank stealing taking horrible see corona epidemic everyone sick work financial institution think take advantage single woman bc single  kid deservre trrated liken first class citizen matter marital status amount kid financial institution absolute worst come detail customer service actually taking care issue following law absolutely worst lowlife planet i victim identity theft i treated criminal even questioning one day get call u bank next day like well irs tax document filed someone else kid i seen one stimulus payment i went thousand acct even cant renew insurance  without debit card care lose apartment kid get glass milk told need watch eat drink much mommy afford buy anymore going lose home street no one help u could please look report status claim i fear future feel like u bank theif i suffering trying keep roof child covid stay home order ia effect please send help so response warn others,Fear
6329,on i received email i thought pnc bank asking update security question on i stopped  get food card declined i didnt understand i knew i money account i tried login online banking app website didnt allow so i decided call bank told account overdrawn they told i needed visit pnc branch find information later day i able get branch told somebody disputed transaction  person named   they continued say i part scam the lady helping situation told i pay negative balance she even said decided close account end relationship i beyond confused extremely upset happened she said could i decided i didnt want stop i made appointment another pnc branch discus someone different the lady i met helpful first tried best help situation bank still declined help problem i bill going bill bounced for past month i trying get pnc understand situation seems like dont care they investigation decided cant anything they decided close account forcing pay back fee came bill declined i would like answer i would like reasonable explanation i pay back money please help,Fear
6666,for year i trying get item removed updated credit bureau unfortunately back  i lived temporarily apartment complex home built our mail delivered thru group mail box to avail many hour time money spent i success process either thru mail phone call documentation on i enough i sent documentation showing social security number compromised these document notarized along fraudulent activity report included the company sent no proof i applied service i requested several occassions send written signature application ip address none either responded sent reputiple proof copy bill the credit bureas respond back verified remove i advised thing verify company phone call this prove anything no written documentation proof signature required here following account hard inquires i trying get removed several year on experian credit report      acct  credit card date opened closed credit limit highest balance not my debt     auto loan opened acct  showing past due monthly payment i called auto loan advised i affected covid i advised customer service department list payment late charge late fee monthly payment however credit report show late date charged late fee since time my loan current however still reporting time i late loan credit bureau i paid late payment   charge card opened acct  written off closed experian still showing credit report i sent numerous letter documentation proof identity theft affidavit signed notarized back   this removed   however experian never contacted regarding matter removed       secured card date opened acct  credit limit secured this card i pay bank secure i closed account year ago advised pay balance security deposit held account this company never closed account ran interest every month reporting i paid account full closed   paid full security deposit it reported credit bureau currently     opened acct  in collection since balance owed i advised company account belong personally husband business phone account i liable bill together since i live son they still reporting credit report personal debt remove credit bureau    charge card opened acct  closed written off please note company experian still reporting experian credit report submitting identity theft affidavit notarized back i advised please remove i longer lived property listed not mine    secured card date opened listed charge off never late   highest balance the card secured bank card credit limit put secured account money in i closed account paid security hold money i never received difference reporting balance due well limit i written credit bureau company corrected marked paid full response these are the hard inquiry listed on my experian   credit report that i never applied for wrote to every company a suggested by the credit bureau however some did not respond and some sent letter back stating they have no record of me or they do not remove inquiry this is unfair and should not be legal experian  credit inquiry on  credit inquiry on              again                   ,Fear
10043,i filed complaint guy consumer finance received response back collection agency validate debt provide official acceptable debt validation proof sent debt validation anytime you  finance closed case im writing hope someone hold collection agency accountable actually read going simply accepting response closing i noticed credit collection state recovery system account at time i notified debt existed i wrote letter certified stuck mail box delivered state recovery system in letter claim didnt receive i asked validate debt providing copy original contractor creditor copy last billing statement original creditor date billing information original creditor i receive requested information back i received information we i complained  guy result state recovery system sent piece paper dated indicating charge this furnishing proof debt i requested form original billing contract actual creditor i asked original billing contract original creditor made piece paper invoice collection agency please send original documentation original creditor including contract billing statement documentation regarding communication validate debt if unable provide proof notifying proof original creditor documentation contract billing fair collection law act please remove collection credit bureau,Fear
17338,i paid  balance american express card they continued charge interest increasing i probated  today the original interest charge  today say  i also cancelled card today i paid  today protest,Happy
21260,i new credit recently went apply vehicle stated i collection credit report i need looked taking credit ca prove i owe debt this greatly hurting credit thanks,Fear
9430,to someone position authority i making formal complaint cornerstone credit service placed information report without consent without validating debt i reached company month ago i still received response i informed violating b supposed exclude information report authorized credit card i informed violation responded correspondence additionally i asked validate debt reporting consumer report  i made formal complaint  cornerstone credit service  failed show proof debt reporting belongs because failed validate debt sufficient proof violation a original creditor i validate debt if i continue ignored matter i proceed seek litigation remedy per violation defamation character negligent enablement identity fraud violation i demand account deleted experian report within day i move forward litigation remedy i also demand updated report mailed any action taken hinder consumer report also result seeking litigation remedy thank,Fear
2952,this problem pertains discover credit card charge put onto account i make they  they applied on credit put account omitting credit all charge far without knowledge i looked account day entry taken place i called credit card company find going they initially tried say everything reversed account credited amount i told still one charge remaining it took convincing get see amount still outstanding after persisting agreed give temporary credit that charge reversed number day later said went another dept investigation they show day reversal attached entry after calling reversal early  checking account every day see anything new applied i spoke rep going credit remaining instead showed credit  charge charge basically reversed credit reflect applied time time applied time now account error charge instead original i called spoke fraud dept company got lot double talk i told rep account credited wrongly this time credit omitted leaving overage account she said done credit missed one would make change would go hour each time i talk someone company say one thing another make account look confusing i keeping straight adding purchase paying i told rep i want finance charge applied whatever amount omit credit bogus charge stand she said would charge one note i paid balance amount account month i opened i feel disrupting thing make money offset finance charge never gotten account,Fear
12332,i went er   i symptom   i told le five attendee i drank turmeric tea fast may   none wrote my friend witness i sincerely believe since i insurance saw dollar sign they insisted keeping overnight i could avoid pay insurance deductible i listened my credit wrongly attacked one doctor claimed called  assist doctor staff case they tell turmeric tea  source i believe fraud i page record hospital prove none documented turmeric tea consumption they even referred   tried get thousand dollar investigate i also feel ultra sound tech pretend couldnt see part  i found all doctor staff   hospital i cant help feel racket make money unsuspecting people  also asked ever return hospital i treated i contacted attorney get   leave alone he told attorney i   true stated i maintained high sodium diet this false i benefit hour fast   stated i untreated   i doctor care    since  i didnt  machine admitted hospital this doctor violated hipaa law giving information attorney without knowledge permission this fraud still showing   report i want gone i also told r clark associate collection agency claim false fraudulent refused remove i paying false claim i even considering filing hipaa violation doctor providing medical information party without permission knowledge here collection agency information r clark and associate       tx  ,Fear
13389,the card provided wasnt credit card the card debit card spoke collection department he stated debit come system credit card which isnt case we called enrolled program it fault system stated credit card we dont credit card in past talk customer advocate team never answer phone we person assigned u name  never return phone call the number navient provided call  this company provided incorrect information   im willing work navient but different agent provided different answer i would also like call pulled card ending  provided,Fear
8875,i went   make shoe purchase i unable make online i several issue ordering rep advised i go inside place order when i went store shoe i wanted hand cashier stated could order ship point i paid merchandise store stated would arrive within business day after day past i receive merchandise i contacted   see merchandise stated shown delivered i advised time i never received merchandise stated i would need call  initiate investigation i  finished investigation stated showed delivered left porch although i previously advised i issue like past package found they told contact  back advise investigation completed issue refund merchandise i called requested merchandise stated could offer refund i would need they initiated refund merchandise received sent confirmation email showing refund processed several day receiving refund i contacted bank america start dispute i never received refund promised it took month get response boa stating denying i went inside store made purchase stated merchandise obviously received i made purchase store i advised boa i fact make store never took merchandise deliver via online stock available at point claim information i also forward actual email confirmation   email sent showing return process initiated fund never disbursed i received letter stating i went inside store made purchase unable refund money although i never received this merchandise this insane i cant afford pay merchandise i never received i never received item i held liable transaction please investigate matter advise option whole process seems corrupt unfair please help,Fear
10303,equifax  incorrectly reporting charged account i shown authorized user  partial account number  please see page attached credit report i already called   let know i never gave permission added authorized user account this tradeline removed  however equifax  removed report i contacted two bureau fix issue this negative reporting harming credit score,Fear
20835, gained unauthorized access credit report,Fear
14484,i requsting copy documentation used make decision i provided copy passport show i present charge occurred i never said i old travel evidence chase used claim i traveled show i left country copy passport i    chase violated regulation z tila providing documentation requested mine   specifically providing documentation show i ,Surprise
15038,in   i consolidated private student loan debt   i believed i getting low fixed rate loan better private loan i took    without credit history the consolidated loan amount after year automatic payment i sent message on mon    lendkey this important message let know   longer servicer student loan referenced attached letter effective date lendkey take servicing private student loan then thu i informed we writing inform reviewing loan determined monthly loan payment yet recalculated reflect quarterly change variable interest rate loan a likely aware variable interest rate based   offered rate  index since   index increased approximately current value my loan amount increased significantly quarter i made aggressive payment in fact aggressive i actually set paid full loan balance however lendkey business day payment policy every time i submit payment take nearly week clear payment charging nearly week interest high rate when i call lendkey try make payment ca even tell remaining loan balance previous payment processing my car payment mortgage many lender seem process payment next day i believe payment delay regulated clearly intentional hurting people like i know rate switched fixed variable loan servicer changed i know i charged interest week lender wo let pay debt,Fear
21508,my citibank thank reward membership hacked three time since first time someone tried use reward point gift card noticed odd activity account i got email stating i changed mailing email address i able dispute point told would never happen time i got email hotel booking i i told charge reversed future use point i call security system then someone transferred  point airline i changed password every time happened i guaranteed would happen,Fear
11670,i disputed item mine item still remaining need deleted,Fear
4430,i contacted first bankcard numerous time year concern allocate payment they honestly worst customer service i ever seen i numerous credit card i never issue others like i first bankcard and customer service horrible very impersonal they could care le anything contact seems i maintained year apply payment properly they always apply payment balance lowest apr instead balance highest apr like i know else i written numerous time even put writing back maintain supposed anyone common sense know backwards payment applied but care i know else i specifically made large payment toward balance promotional interest rate expiring order get promotional balance paid interest rate rise apply payment promotional balance expiring i even sent payment general customer service address note explaining please apply promotional balance interest rate go totally ignore send letter telling payment sent wrong address they lot thing compliance law payment applied and care brought attention they also list promotional interest rate expiration statement alert going expire like required,Fear
5785,my mother passed away  she ira account well fargo i one equal beneficiary account i properly filled ira beneficiary claim request form requesting portion fund the form requires medallion guarantee on i went local    branch one bank i business they said policy ca medallion guarantee unless fund deposited account    i went local branch form told could medallion i account even though i beneficiary account i also contacted another one local bank   told medallion le at point i way getting fund except form specifically transaction fund medallion form release fund any assistance would greatly appreciated,Fear
16243,my credit report currently show account  aargon collection agency amount i called    original creditor told billed wrong way initially resubmitted bill correctly i veteran insurance time service i told billing take time va respond issue payment however payment pending my personal credit damaged va take long time process payment,Fear
7491,i sure happened i believe i made payment i received statement my thought monthly statement get payment applied fast expected i check bank account noticed deducted money checking account month marked late credit report,Fear
19343,southwest credit system swc group notified account result id theft i sent dispute  said date along copy original police report verifying i i victim id theft driver license ssn compromised southwest however verified account truly belonging marked consumer dispute information instead deleting fraudulent information southwest credit system even knowledge account fraudulent informed  lieu dispute i attached copy police report verifying i id theft victim,Fear
8321,my name    please remove variation name accurate my current address     wv  my s  dob delete following address file accurate      oh      oh     oh       nv     oh     oh ,Sad
1370,i denied low income loan obtain city habitat low income cooperative i denied credit bureau refused fix credit false reporting seven credit card remark delinquency derogatory charge offs late payment remain credit long seven year almost twenty year i lost benefit housing opportunity remove homeless status society these credit bureau inefficient unable report accurately cause detrimental destruction individual person life,Fear
13023,from bank cash plus credit card hacked used purchase thing   i never heard known total  i contact bank report fraud u bank representative helped report fraud department lock card send new one put provisional credit amount i stole however next couple day i checked back account i saw bank reversed credit gave i balance   my account balance  incident i called fraud specialist name  told think fraud told investigate end this frustrating depressed i contacted merchant  email they even said may stolen credit card information told contact issuing bank here following charge account authorized included foreign fee included transaction,Fear
20492,i problem bank america closed account i draft account paid even closed account i cant get account else i owe money money paid i even called talk lady didnt see nothing say i didnt pay i go try open account say i owe another bank thats bank i,Fear
10276,on i filed dispute incorrect information showing credit report well day i received investigation result,Surprise
7336,amex need call   data breach showed bureau removed ftc violation,Happy
9432,i received notice gc service limited partnership dated file number  client account number  balance  i writing dispute validity debt this regarding  account number  i ended cell phone service   at time i using    phone i originally leased  the original lease agreement month month i paid month i paid monthly leasing charge another month in total year i paid  phone the phone currently retail  although time i began lease phone selling close regardless  already made profit leasing phone depending calculate market value phone in  prior cancelling service  i called find i still charged phone i paid fair market value phone two year i spoke    id number  he first suggested i would pay end lease phone after i reviewed much i already paid towards phone agreed i paid fair market value phone i would longer charged lease phone i received i believed final bill service paid early  i later received another bill i longer cell phone service  the bill bill say total lease amount due on i called  find i receiving bill i told representative saw error would send new bill although unable explain issue much bill actually she agreed send new bill instead sent duplicate copy bill i already paid today i tried calling  find referred bill collection agency a see attached phone log screenshot i spent hour phone  today each call unfortunately involved speaking representative minute after representative spoke minute said needed put hold then leaving hold sometimes minute long hour hung time my sense i already cancelled service  call important feel responsibility actually talk this unacceptable given insisting i pay phone i already given  refusing discus phone i reaching additional assistance document i disputing charge,Fear
6498,i sent multiple letter experian regard unauthorized inquires om credit report they failed investigate delete inquires they continue igmore im stressed i giving experian authorization investigate unauthorized inquires provide proof infact mine i accept caned response recieve info creditor it credit agency job provide proof erroneuos inquiry i demand inquires delete seek legal action,Fear
4587,paragon closed account still see one  price paragon please remove asap the recent write your company paragon state closing removing account cfpb complaint inbox writing thanks response have blessed day,Happy
18071,after  month u bank call successive time minute time frame literally call second they make multiple call per day well they every day receive payment i consider excessive abusive,Sad
7508,i contacted experian via certified mail inform six unauthorized inquires following i demanded deleted credit report    inquiry date    inquiry date  inquiry date   inquiriy date     inquiry date      inquiry date there no proof i initiated inquiry nor written authorization failed provide permissible purpose therefore inquiry credit report violate fair credit reporting act section c transaction not initiated consumer,Fear
11561,freedom mortgage sent home foreclosure claiming received zero payment since    we received zero notice issue i pay mortgage bank   using online bill pay service freedom mortgage say i paid since bank proof sending check freedom mortgage cashing payment my bank record payment made when i received check back mail along notice enough reinstate account account put foreclosure i immediately called freedom mortgage spoke  ext  she unable explain received payment yet applied since so therefore none total payment applied monthly payment the trace could find check sent back clued problem foreclosure proceeding it important note home mortgage held located   florida  county hit hurricane matthew hurricane irma causing flooding damage home reported filled loss hardship paperwork saying never received even disaster hardship i still made loan payment the amount varying time i would call get thing straight i told different thing handle pay stay current because run around i really overpaid since  almost just since say i paid i paid total say i owe because disputed payment bank   walked reporting freedom mortgage fraud essentially i put foreclosure illegally audited i retained lawyer i tried multiple time reach freedom handle timely make right wo even let speak supervisor give real answer money applied so   fraud investigation freedom mortgage thief trying scam widow  kid home the fraudulent accusation default foreclosure ruined credit point making impossible find another place live all i delinquent pay bill well i hope like shady business dealing customer service incompetence exposed my bank proven took money need give back apply originally intended mortgage payment i refuse easy prey scam make profit i thorn side make payment reflect take off credit i take high i need go world,Fear
17916,i never applied card question eventually closed used bank trying extort yearly fee posting credit profile without authentication,Fear
1258,on previously defaulted federal student loan rehabilitated the    behalf u department education ordered credit bureau remove record default credit report    confirmed phone bureau contacted emailed copy default clearance letter sent credit agency on i submitted dispute transunion medical collection i wanted account removed transunion claim dont factor paid collection  model still factored on i noticed transunion deleted previously defaulted loan account except one i called asked submit dispute  could fix  confirmed previous correspondence willing unbeknownst listed writing anywhere i could find  website relayed agent submitted dispute phone unrelated dispute paid medical collection would grouped together dispute submitted credit report would updated all dispute completed this incredibly frustrating several reason least fact i confirmed  information submitted transunion not also date transunion credit bureau thats still reporting student loan defaulted   updated report score the dispute process supposed transparent i read reference material could found regarding transunions dispute resolution process online spoke several different agent including supervisor today disclosed update report dispute medical company collection department resolved i cancel dispute whether related single remaining loan account this completely unethical i dont believe fcra allows transunion intentionally report inaccurate information federal student loan theyre waiting answer person doctor billing office i also dont believe ethical attempt leverage negative impact inaccurate information financially order get cancel dispute medical clinic a dispute i submitted paid medical bill still factored  direct contradiction information listed transunions website regarding specific scoring model i worked extremely hard last year paying bad debt simultaneously keeping new account i outstanding bad debt remaining credit report reflect effort discipline ive demonstrated time,Fear
7742,start early  idea leading  un aware anything prior present except  i want dispute bc make transaction,Sad
18954,attempted purchase activate child smartwatch  location  tx the  sale representative failed get smartwatch    phone parent phone the  sale representative cancelled transaction refunded voided charge i received bill marked past due  account canceled  i returned  store showed employee bill with help manager long conversation corporate  discovered smartwatch transaction properly cancelled i considered customer still account the manager working corporate  phone cancelled account voided debt i received collection notice icsystem list  original creditor i returned  store staff confirmed fee associated smartwatch transaction waived told could nothing correct issue collection the  staff recognized debt invalid noted note account see attached image note,Fear
3338,i tried resolve charged account belk every time call wont give account number tell arent removing anything need wait,Fear
20908,i know account i demand investigation removal collection account belong the monthly payment term credit limit past due date last payment missing report i demand deleted,Fear
5916,       oh  dob s  i have somes address on my credit report that are not mine someone wa using my name and info for account that do not belong to me please delete the following adresses     oh       oh        oh       oh      oh      oh       oh        oh      oh       oh      oh ,Fear
